model,space,floor_mode,floor_setting,floor_cosine,mean_edge_sim,edges_kept_pct,isolated_nodes,resolution,min_size,n_keywords,n_clusters,n_noise,noise_pct,largest,median_size,clusters_lt_10
embeddinggemma,raw,abs,0.0,0.0,0.7509,100.0,0,1.0,1,19801,43,0,0.0,1953,315,0
embeddinggemma,raw,abs,0.0,0.0,0.7509,100.0,0,1.0,3,19801,43,0,0.0,1953,315,0
embeddinggemma,raw,abs,0.0,0.0,0.7509,100.0,0,1.0,10,19801,43,0,0.0,1953,315,0
embeddinggemma,raw,abs,0.0,0.0,0.7509,100.0,0,2.0,1,19801,70,0,0.0,1237,211,0
embeddinggemma,raw,abs,0.0,0.0,0.7509,100.0,0,2.0,3,19801,70,0,0.0,1237,211,0
embeddinggemma,raw,abs,0.0,0.0,0.7509,100.0,0,2.0,10,19801,70,0,0.0,1237,211,0
embeddinggemma,raw,abs,0.0,0.0,0.7509,100.0,0,4.0,1,19801,102,0,0.0,778,161,0
embeddinggemma,raw,abs,0.0,0.0,0.7509,100.0,0,4.0,3,19801,102,0,0.0,778,161,0
embeddinggemma,raw,abs,0.0,0.0,0.7509,100.0,0,4.0,10,19801,102,0,0.0,778,161,0
embeddinggemma,raw,abs,0.0,0.0,0.7509,100.0,0,8.0,1,19801,148,0,0.0,458,116,0
embeddinggemma,raw,abs,0.0,0.0,0.7509,100.0,0,8.0,3,19801,148,0,0.0,458,116,0
embeddinggemma,raw,abs,0.0,0.0,0.7509,100.0,0,8.0,10,19801,148,0,0.0,458,116,0
embeddinggemma,raw,abs,0.5,0.5,0.7509,99.5,11,1.0,1,19801,44,11,0.06,2098,317,0
embeddinggemma,raw,abs,0.5,0.5,0.7509,99.5,11,1.0,3,19801,44,11,0.06,2098,317,0
embeddinggemma,raw,abs,0.5,0.5,0.7509,99.5,11,1.0,10,19801,44,11,0.06,2098,317,0
embeddinggemma,raw,abs,0.5,0.5,0.7509,99.5,11,2.0,1,19801,67,11,0.06,1309,218,0
embeddinggemma,raw,abs,0.5,0.5,0.7509,99.5,11,2.0,3,19801,67,11,0.06,1309,218,0
embeddinggemma,raw,abs,0.5,0.5,0.7509,99.5,11,2.0,10,19801,67,11,0.06,1309,218,0
embeddinggemma,raw,abs,0.5,0.5,0.7509,99.5,11,4.0,1,19801,96,11,0.06,766,172,0
embeddinggemma,raw,abs,0.5,0.5,0.7509,99.5,11,4.0,3,19801,96,11,0.06,766,172,0
embeddinggemma,raw,abs,0.5,0.5,0.7509,99.5,11,4.0,10,19801,96,11,0.06,766,172,0
embeddinggemma,raw,abs,0.5,0.5,0.7509,99.5,11,8.0,1,19801,148,11,0.06,453,116,0
embeddinggemma,raw,abs,0.5,0.5,0.7509,99.5,11,8.0,3,19801,148,11,0.06,453,116,0
embeddinggemma,raw,abs,0.5,0.5,0.7509,99.5,11,8.0,10,19801,148,11,0.06,453,116,0
