method,model,space,floor_mode,floor_setting,floor_cosine,mean_edge_sim,edges_kept_pct,isolated_nodes,resolution,min_size,n_keywords,n_edges,components_before_min_size,n_clusters,n_noise,noise_pct,largest,median_size,clusters_lt_10
threshold_unionfind,embeddinggemma,raw,abs,0.7,0.7,,,,,2,19801,775463,1220,107,1113,5.62,18442,2,106
threshold_unionfind,embeddinggemma,raw,abs,0.7,0.7,,,,,3,19801,775463,1220,28,1271,6.42,18442,3,27
threshold_unionfind,embeddinggemma,raw,abs,0.7,0.7,,,,,10,19801,775463,1220,1,1359,6.86,18442,18442,0
threshold_unionfind,embeddinggemma,raw,abs,0.75,0.75,,,,,2,19801,354773,2948,336,2612,13.19,16212,2,328
threshold_unionfind,embeddinggemma,raw,abs,0.75,0.75,,,,,3,19801,354773,2948,133,3018,15.24,16212,3,125
threshold_unionfind,embeddinggemma,raw,abs,0.75,0.75,,,,,10,19801,354773,2948,8,3504,17.7,16212,11,0
threshold_unionfind,embeddinggemma,raw,abs,0.8,0.8,,,,,2,19801,147869,5774,809,4965,25.07,11887,2,781
threshold_unionfind,embeddinggemma,raw,abs,0.8,0.8,,,,,3,19801,147869,5774,332,5919,29.89,11887,4,304
threshold_unionfind,embeddinggemma,raw,abs,0.8,0.8,,,,,10,19801,147869,5774,28,7164,36.18,11887,15,0
threshold_unionfind,embeddinggemma,raw,abs,0.85,0.85,,,,,2,19801,52622,9893,1411,8482,42.84,4964,2,1329
threshold_unionfind,embeddinggemma,raw,abs,0.85,0.85,,,,,3,19801,52622,9893,593,10118,51.1,4964,4,511
threshold_unionfind,embeddinggemma,raw,abs,0.85,0.85,,,,,10,19801,52622,9893,82,12190,61.56,4964,16,0
threshold_unionfind,embeddinggemma,raw,abs,0.9,0.9,,,,,2,19801,14120,14550,1696,12854,64.92,791,2,1625
threshold_unionfind,embeddinggemma,raw,abs,0.9,0.9,,,,,3,19801,14120,14550,621,15004,75.77,791,4,550
threshold_unionfind,embeddinggemma,raw,abs,0.9,0.9,,,,,10,19801,14120,14550,71,17186,86.79,791,17,0
threshold_unionfind,embeddinggemma,background,abs,0.7,0.7,,,,,2,19801,98184,8169,1237,6932,35.01,6933,2,1153
threshold_unionfind,embeddinggemma,background,abs,0.7,0.7,,,,,3,19801,98184,8169,513,8380,42.32,6933,4,429
threshold_unionfind,embeddinggemma,background,abs,0.7,0.7,,,,,10,19801,98184,8169,84,10156,51.29,6933,19,0
threshold_unionfind,embeddinggemma,background,abs,0.75,0.75,,,,,2,19801,49585,10594,1507,9087,45.89,2358,2,1410
threshold_unionfind,embeddinggemma,background,abs,0.75,0.75,,,,,3,19801,49585,10594,664,10773,54.41,2358,4,567
threshold_unionfind,embeddinggemma,background,abs,0.75,0.75,,,,,10,19801,49585,10594,97,13152,66.42,2358,17,0
threshold_unionfind,embeddinggemma,background,abs,0.8,0.8,,,,,2,19801,22876,13133,1657,11476,57.96,1250,2,1575
threshold_unionfind,embeddinggemma,background,abs,0.8,0.8,,,,,3,19801,22876,13133,655,13480,68.08,1250,4,573
threshold_unionfind,embeddinggemma,background,abs,0.8,0.8,,,,,10,19801,22876,13133,82,15858,80.09,1250,16,0
threshold_unionfind,embeddinggemma,background,abs,0.85,0.85,,,,,2,19801,9448,15643,1567,14076,71.09,156,2,1522
threshold_unionfind,embeddinggemma,background,abs,0.85,0.85,,,,,3,19801,9448,15643,558,16094,81.28,156,4,513
threshold_unionfind,embeddinggemma,background,abs,0.85,0.85,,,,,10,19801,9448,15643,45,18181,91.82,156,25,0
threshold_unionfind,embeddinggemma,background,abs,0.9,0.9,,,,,2,19801,3253,17710,1197,16513,83.39,66,2,1179
threshold_unionfind,embeddinggemma,background,abs,0.9,0.9,,,,,3,19801,3253,17710,308,18291,92.37,66,3,290
threshold_unionfind,embeddinggemma,background,abs,0.9,0.9,,,,,10,19801,3253,17710,18,19419,98.07,66,16,0
threshold_unionfind,qwen3_06b,raw,abs,0.7,0.7,,,,,2,19801,8182288,167,9,158,0.8,19624,2,8
threshold_unionfind,qwen3_06b,raw,abs,0.7,0.7,,,,,3,19801,8182288,167,3,170,0.86,19624,4,2
threshold_unionfind,qwen3_06b,raw,abs,0.7,0.7,,,,,10,19801,8182288,167,1,177,0.89,19624,19624,0
threshold_unionfind,qwen3_06b,raw,abs,0.75,0.75,,,,,2,19801,2452715,495,41,454,2.29,19249,2,40
threshold_unionfind,qwen3_06b,raw,abs,0.75,0.75,,,,,3,19801,2452715,495,11,514,2.6,19249,3,10
threshold_unionfind,qwen3_06b,raw,abs,0.75,0.75,,,,,10,19801,2452715,495,1,552,2.79,19249,19249,0
threshold_unionfind,qwen3_06b,raw,abs,0.8,0.8,,,,,2,19801,765347,1526,150,1376,6.95,18040,2,149
threshold_unionfind,qwen3_06b,raw,abs,0.8,0.8,,,,,3,19801,765347,1526,41,1594,8.05,18040,3,40
threshold_unionfind,qwen3_06b,raw,abs,0.8,0.8,,,,,10,19801,765347,1526,1,1761,8.89,18040,18040,0
threshold_unionfind,qwen3_06b,raw,abs,0.85,0.85,,,,,2,19801,256485,3941,525,3416,17.25,14426,2,508
threshold_unionfind,qwen3_06b,raw,abs,0.85,0.85,,,,,3,19801,256485,3941,211,4044,20.42,14426,4,194
threshold_unionfind,qwen3_06b,raw,abs,0.85,0.85,,,,,10,19801,256485,3941,17,4867,24.58,14426,17,0
threshold_unionfind,qwen3_06b,raw,abs,0.9,0.9,,,,,2,19801,71441,8728,1328,7400,37.37,5843,2,1242
threshold_unionfind,qwen3_06b,raw,abs,0.9,0.9,,,,,3,19801,71441,8728,585,8886,44.88,5843,4,499
threshold_unionfind,qwen3_06b,raw,abs,0.9,0.9,,,,,10,19801,71441,8728,86,10937,55.23,5843,16,0
threshold_unionfind,qwen3_06b,background,abs,0.7,0.7,,,,,2,19801,67909,9554,1453,8101,40.91,2319,2,1368
threshold_unionfind,qwen3_06b,background,abs,0.7,0.7,,,,,3,19801,67909,9554,618,9771,49.35,2319,4,533
threshold_unionfind,qwen3_06b,background,abs,0.7,0.7,,,,,10,19801,67909,9554,85,11980,60.5,2319,17,0
threshold_unionfind,qwen3_06b,background,abs,0.75,0.75,,,,,2,19801,36050,11684,1682,10002,50.51,886,2,1579
threshold_unionfind,qwen3_06b,background,abs,0.75,0.75,,,,,3,19801,36050,11684,699,11968,60.44,886,4,596
threshold_unionfind,qwen3_06b,background,abs,0.75,0.75,,,,,10,19801,36050,11684,103,14448,72.97,886,22,0
threshold_unionfind,qwen3_06b,background,abs,0.8,0.8,,,,,2,19801,17452,13945,1775,12170,61.46,474,2,1684
threshold_unionfind,qwen3_06b,background,abs,0.8,0.8,,,,,3,19801,17452,13945,681,14358,72.51,474,4,590
threshold_unionfind,qwen3_06b,background,abs,0.8,0.8,,,,,10,19801,17452,13945,91,16833,85.01,474,16,0
threshold_unionfind,qwen3_06b,background,abs,0.85,0.85,,,,,2,19801,7421,16081,1618,14463,73.04,259,2,1578
threshold_unionfind,qwen3_06b,background,abs,0.85,0.85,,,,,3,19801,7421,16081,567,16565,83.66,259,3,527
threshold_unionfind,qwen3_06b,background,abs,0.85,0.85,,,,,10,19801,7421,16081,40,18661,94.24,259,17,0
threshold_unionfind,qwen3_06b,background,abs,0.9,0.9,,,,,2,19801,2754,17847,1157,16690,84.29,102,2,1144
threshold_unionfind,qwen3_06b,background,abs,0.9,0.9,,,,,3,19801,2754,17847,318,18368,92.76,102,3,305
threshold_unionfind,qwen3_06b,background,abs,0.9,0.9,,,,,10,19801,2754,17847,13,19533,98.65,102,12,0
threshold_unionfind,bge_m3,raw,abs,0.7,0.7,,,,,2,19801,681539,1714,255,1459,7.37,17602,2,250
threshold_unionfind,bge_m3,raw,abs,0.7,0.7,,,,,3,19801,681539,1714,101,1767,8.92,17602,4,96
threshold_unionfind,bge_m3,raw,abs,0.7,0.7,,,,,10,19801,681539,1714,5,2149,10.85,17602,12,0
threshold_unionfind,bge_m3,raw,abs,0.75,0.75,,,,,2,19801,305817,2983,418,2565,12.95,15861,2,402
threshold_unionfind,bge_m3,raw,abs,0.75,0.75,,,,,3,19801,305817,2983,177,3047,15.39,15861,4,161
threshold_unionfind,bge_m3,raw,abs,0.75,0.75,,,,,10,19801,305817,2983,16,3718,18.78,15861,14,0
threshold_unionfind,bge_m3,raw,abs,0.8,0.8,,,,,2,19801,129799,5077,826,4251,21.47,11925,2,770
threshold_unionfind,bge_m3,raw,abs,0.8,0.8,,,,,3,19801,129799,5077,363,5177,26.15,11925,4,307
