method,model,space,floor_mode,floor_setting,floor_cosine,resolution,min_size,umap_dims,umap_neighbors,n_keywords,n_clusters,n_noise,noise_pct,largest,median_size,clusters_lt_10
umap_hdbscan,embeddinggemma,raw,,,,,3,10,15,19801,1581,5084,25.68,268,6,1142
umap_hdbscan,embeddinggemma,raw,,,,,10,10,15,19801,387,4972,25.11,356,26,0
umap_hdbscan,embeddinggemma,raw,,,,,25,10,15,19801,166,4935,24.92,599,59,0
umap_hdbscan,embeddinggemma,raw,,,,,3,30,15,19801,1630,5346,27.0,138,6,1212
umap_hdbscan,embeddinggemma,raw,,,,,10,30,15,19801,391,5087,25.69,299,25,0
umap_hdbscan,embeddinggemma,raw,,,,,25,30,15,19801,163,5138,25.95,534,60,0
umap_hdbscan,embeddinggemma,background,,,,,3,10,15,19801,1597,4192,21.17,305,6,1101
umap_hdbscan,embeddinggemma,background,,,,,10,10,15,19801,467,3982,20.11,262,23,0
umap_hdbscan,embeddinggemma,background,,,,,25,10,15,19801,197,4685,23.66,521,56,0
umap_hdbscan,embeddinggemma,background,,,,,3,30,15,19801,1622,4505,22.75,114,6,1146
umap_hdbscan,embeddinggemma,background,,,,,10,30,15,19801,452,3882,19.61,275,23,0
umap_hdbscan,embeddinggemma,background,,,,,25,30,15,19801,195,4809,24.29,527,54,0
umap_hdbscan,qwen3_06b,raw,,,,,3,10,15,19801,1658,4977,25.14,256,6,1238
umap_hdbscan,qwen3_06b,raw,,,,,10,10,15,19801,398,4539,22.92,338,25,0
umap_hdbscan,qwen3_06b,raw,,,,,25,10,15,19801,177,4799,24.24,368,59,0
umap_hdbscan,qwen3_06b,raw,,,,,3,30,15,19801,1637,5037,25.44,176,6,1203
umap_hdbscan,qwen3_06b,raw,,,,,10,30,15,19801,394,4687,23.67,337,24,0
umap_hdbscan,qwen3_06b,raw,,,,,25,30,15,19801,176,4806,24.27,581,59,0
umap_hdbscan,qwen3_06b,background,,,,,3,10,15,19801,1603,4629,23.38,136,6,1129
umap_hdbscan,qwen3_06b,background,,,,,10,10,15,19801,434,4419,22.32,373,25,0
umap_hdbscan,qwen3_06b,background,,,,,25,10,15,19801,190,4209,21.26,375,57,0
umap_hdbscan,qwen3_06b,background,,,,,3,30,15,19801,1623,4711,23.79,208,6,1153
umap_hdbscan,qwen3_06b,background,,,,,10,30,15,19801,428,4399,22.22,316,25,0
umap_hdbscan,qwen3_06b,background,,,,,25,30,15,19801,186,4357,22.0,383,56,0
umap_hdbscan,bge_m3,raw,,,,,3,10,15,19801,1674,4458,22.51,271,6,1168
umap_hdbscan,bge_m3,raw,,,,,10,10,15,19801,454,4101,20.71,738,22,0
umap_hdbscan,bge_m3,raw,,,,,25,10,15,19801,170,4657,23.52,737,58,0
umap_hdbscan,bge_m3,raw,,,,,3,30,15,19801,1646,4407,22.26,269,6,1157
umap_hdbscan,bge_m3,raw,,,,,10,30,15,19801,454,4349,21.96,739,21,0
umap_hdbscan,bge_m3,raw,,,,,25,30,15,19801,156,4297,21.7,739,68,0
umap_hdbscan,bge_m3,background,,,,,3,10,15,19801,1684,4473,22.59,207,6,1208
umap_hdbscan,bge_m3,background,,,,,10,10,15,19801,467,4427,22.36,325,22,0
umap_hdbscan,bge_m3,background,,,,,25,10,15,19801,185,4849,24.49,360,57,0
umap_hdbscan,bge_m3,background,,,,,3,30,15,19801,1696,4575,23.1,97,6,1195
umap_hdbscan,bge_m3,background,,,,,10,30,15,19801,452,4467,22.56,321,22,0
umap_hdbscan,bge_m3,background,,,,,25,30,15,19801,170,4627,23.37,358,63,0
